acceleration__standard_deviation, Importance Score = 0.0846
acceleration__number_crossing_m__m_1, Importance Score = 0.0750
acceleration__fft_coefficient__attr_"angle"__coeff_1, Importance Score = 0.0721
acceleration__fourier_entropy__bins_5, Importance Score = 0.0647
acceleration__linear_trend__attr_"slope", Importance Score = 0.0494
acceleration__fourier_entropy__bins_2, Importance Score = 0.0422
acceleration__range_count__max_0__min_-1000000000000.0, Importance Score = 0.0367
acceleration__autocorrelation__lag_5, Importance Score = 0.0347
acceleration__index_mass_quantile__q_0.4, Importance Score = 0.0335
acceleration__mean_n_absolute_max__number_of_maxima_7, Importance Score = 0.0307
acceleration__kurtosis, Importance Score = 0.0298
acceleration__ar_coefficient__coeff_0__k_10, Importance Score = 0.0253
acceleration__fourier_entropy__bins_100, Importance Score = 0.0244
acceleration__autocorrelation__lag_8, Importance Score = 0.0238
acceleration__change_quantiles__f_agg_"var"__isabs_True__qh_0.2__ql_0.0, Importance Score = 0.0208        
acceleration__cid_ce__normalize_True, Importance Score = 0.0199
acceleration__range_count__max_1000000000000.0__min_0, Importance Score = 0.0189
acceleration__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20), Importance Score = 0.0183
acceleration__agg_linear_trend__attr_"slope"__chunk_len_10__f_agg_"min", Importance Score = 0.0182        
acceleration__fft_coefficient__attr_"abs"__coeff_8, Importance Score = 0.0160
