acceleration__cid_ce__normalize_False, Importance Score = 0.1508
acceleration__agg_linear_trend__attr_"slope"__chunk_len_10__f_agg_"var", Importance Score = 0.0753        
acceleration__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20), Importance Score = 0.0751
acceleration__linear_trend__attr_"pvalue", Importance Score = 0.0533
acceleration__permutation_entropy__dimension_7__tau_1, Importance Score = 0.0442
acceleration__fft_coefficient__attr_"real"__coeff_5, Importance Score = 0.0347
acceleration__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"var", Importance Score = 0.0345        
acceleration__root_mean_square, Importance Score = 0.0325
acceleration__number_crossing_m__m_1, Importance Score = 0.0284
acceleration__change_quantiles__f_agg_"var"__isabs_True__qh_1.0__ql_0.4, Importance Score = 0.0264        
acceleration__change_quantiles__f_agg_"var"__isabs_False__qh_0.2__ql_0.0, Importance Score = 0.0224       
acceleration__fft_coefficient__attr_"imag"__coeff_1, Importance Score = 0.0181
acceleration__index_mass_quantile__q_0.7, Importance Score = 0.0177
acceleration__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20), Importance Score = 0.0175
acceleration__energy_ratio_by_chunks__num_segments_10__segment_focus_3, Importance Score = 0.0167
acceleration__index_mass_quantile__q_0.4, Importance Score = 0.0164
acceleration__approximate_entropy__m_2__r_0.3, Importance Score = 0.0143
acceleration__fft_coefficient__attr_"abs"__coeff_2, Importance Score = 0.0129
acceleration__change_quantiles__f_agg_"var"__isabs_True__qh_0.6__ql_0.0, Importance Score = 0.0124        
acceleration__ar_coefficient__coeff_5__k_10, Importance Score = 0.0119
