acceleration__number_crossing_m__m_1, Importance Score = 0.0989
acceleration__variance, Importance Score = 0.0830
acceleration__permutation_entropy__dimension_7__tau_1, Importance Score = 0.0697
acceleration__longest_strike_below_mean, Importance Score = 0.0465
acceleration__root_mean_square, Importance Score = 0.0459
acceleration__cid_ce__normalize_False, Importance Score = 0.0444
acceleration__change_quantiles__f_agg_"var"__isabs_False__qh_0.6__ql_0.0, Importance Score = 0.0411       
acceleration__change_quantiles__f_agg_"var"__isabs_False__qh_0.2__ql_0.0, Importance Score = 0.0387       
acceleration__agg_autocorrelation__f_agg_"mean"__maxlag_40, Importance Score = 0.0358
acceleration__quantile__q_0.9, Importance Score = 0.0323
acceleration__change_quantiles__f_agg_"var"__isabs_True__qh_0.4__ql_0.0, Importance Score = 0.0310        
acceleration__first_location_of_minimum, Importance Score = 0.0290
acceleration__fft_coefficient__attr_"abs"__coeff_40, Importance Score = 0.0290
acceleration__index_mass_quantile__q_0.7, Importance Score = 0.0277
acceleration__fft_coefficient__attr_"abs"__coeff_20, Importance Score = 0.0233
acceleration__agg_linear_trend__attr_"rvalue"__chunk_len_5__f_agg_"var", Importance Score = 0.0205        
acceleration__change_quantiles__f_agg_"var"__isabs_True__qh_0.2__ql_0.0, Importance Score = 0.0195        
acceleration__fft_coefficient__attr_"abs"__coeff_53, Importance Score = 0.0168
acceleration__percentage_of_reoccurring_values_to_all_values, Importance Score = 0.0167
acceleration__change_quantiles__f_agg_"var"__isabs_False__qh_0.4__ql_0.0, Importance Score = 0.0139  
