字詞,次数
X,159
5,59
10,55
20),55
0,45
0__ql_0,43
2,23
8__ql_0,19
6__ql_0,17
4,17
6,15
8,14
4__ql_0,10
2__ql_0,9
x__change_quantiles__f_agg_var__isabs_True__qh_0,9
x__change_quantiles__f_agg_var__isabs_False__qh_0,9
x__change_quantiles__f_agg_mean__isabs_True__qh_0,9
(m/s2)__quantile__q_0,8
x__quantile__q_0,8
9,6
1,6
x__change_quantiles__f_agg_mean__isabs_False__qh_0,6
x__index_mass_quantile__q_0,6
acceleration__change_quantiles__f_agg_var__isabs_True__qh_0,5
acceleration__change_quantiles__f_agg_var__isabs_True__qh_1,5
acceleration__change_quantiles__f_agg_var__isabs_False__qh_1,5
acceleration__change_quantiles__f_agg_mean__isabs_True__qh_1,5
7,5
(m/s2)__approximate_entropy__m_2__r_0,5
(m/s2)__change_quantiles__f_agg_var__isabs_False__qh_1,5
(m/s2)__change_quantiles__f_agg_var__isabs_True__qh_1,5
x__change_quantiles__f_agg_mean__isabs_True__qh_1,5
x__change_quantiles__f_agg_var__isabs_True__qh_1,5
x__change_quantiles__f_agg_var__isabs_False__qh_1,5
acceleration__quantile__q_0,4
acceleration__change_quantiles__f_agg_var__isabs_False__qh_0,4
acceleration__change_quantiles__f_agg_mean__isabs_True__qh_0,4
(m/s2)__change_quantiles__f_agg_var__isabs_True__qh_0,4
(m/s2)__change_quantiles__f_agg_var__isabs_False__qh_0,4
3,3
acceleration__index_mass_quantile__q_0,2
(m/s2)__ratio_beyond_r_sigma__r_1,2
x__change_quantiles__f_agg_mean__isabs_False__qh_1,2
x__approximate_entropy__m_2__r_0,2
acceleration__variance_larger_than_standard_deviation,1
acceleration__abs_energy,1
acceleration__absolute_maximum,1
acceleration__cid_ce__normalize_False,1
acceleration__fft_coefficient__attr_abs__coeff_19,1
acceleration__fft_coefficient__attr_abs__coeff_29,1
acceleration__mean_n_absolute_max__number_of_maxima_7,1
acceleration__absolute_sum_of_changes,1
acceleration__fft_coefficient__attr_abs__coeff_22,1
acceleration__number_crossing_m__m_-1,1
acceleration__maximum,1
acceleration__fft_coefficient__attr_abs__coeff_36,1
acceleration__root_mean_square,1
acceleration__fft_coefficient__attr_abs__coeff_18,1
acceleration__fft_coefficient__attr_abs__coeff_24,1
acceleration__number_crossing_m__m_1,1
acceleration__agg_linear_trend__attr_intercept__chunk_len_5__f_agg_var,1
acceleration__fft_coefficient__attr_abs__coeff_14,1
acceleration__fft_coefficient__attr_abs__coeff_16,1
acceleration__fft_coefficient__attr_abs__coeff_28,1
acceleration__fft_coefficient__attr_abs__coeff_13,1
acceleration__fft_coefficient__attr_abs__coeff_34,1
acceleration__agg_linear_trend__attr_intercept__chunk_len_10__f_agg_var,1
acceleration__fft_coefficient__attr_abs__coeff_25,1
acceleration__fft_coefficient__attr_abs__coeff_21,1
acceleration__fft_coefficient__attr_abs__coeff_38,1
acceleration__fft_coefficient__attr_abs__coeff_51,1
acceleration__fft_coefficient__attr_abs__coeff_44,1
acceleration__fft_coefficient__attr_abs__coeff_15,1
acceleration__fft_coefficient__attr_abs__coeff_17,1
acceleration__minimum,1
acceleration__fft_coefficient__attr_abs__coeff_20,1
acceleration__variance,1
acceleration__standard_deviation,1
acceleration__fft_coefficient__attr_abs__coeff_11,1
acceleration__fft_coefficient__attr_abs__coeff_23,1
acceleration__fft_coefficient__attr_abs__coeff_35,1
acceleration__fft_coefficient__attr_abs__coeff_48,1
acceleration__fft_coefficient__attr_abs__coeff_8,1
acceleration__agg_linear_trend__attr_intercept__chunk_len_10__f_agg_min,1
acceleration__fft_coefficient__attr_abs__coeff_12,1
acceleration__agg_linear_trend__attr_intercept__chunk_len_50__f_agg_min,1
acceleration__fft_coefficient__attr_abs__coeff_30,1
acceleration__fft_coefficient__attr_abs__coeff_9,1
acceleration__fft_coefficient__attr_abs__coeff_1,1
acceleration__fft_coefficient__attr_abs__coeff_32,1
acceleration__agg_linear_trend__attr_intercept__chunk_len_50__f_agg_var,1
acceleration__spkt_welch_density__coeff_8,1
acceleration__fft_coefficient__attr_abs__coeff_27,1
acceleration__fft_coefficient__attr_abs__coeff_40,1
acceleration__fft_coefficient__attr_abs__coeff_33,1
acceleration__number_peaks__n_1,1
acceleration__fft_coefficient__attr_abs__coeff_7,1
acceleration__fft_coefficient__attr_abs__coeff_64,1
acceleration__fft_coefficient__attr_abs__coeff_37,1
acceleration__fft_coefficient__attr_abs__coeff_31,1
acceleration__fft_coefficient__attr_abs__coeff_26,1
acceleration__fft_coefficient__attr_abs__coeff_53,1
acceleration__fft_coefficient__attr_abs__coeff_10,1
acceleration__fft_coefficient__attr_abs__coeff_47,1
acceleration__number_peaks__n_3,1
acceleration__fft_coefficient__attr_abs__coeff_73,1
acceleration__mean_abs_change,1
acceleration__agg_linear_trend__attr_intercept__chunk_len_50__f_agg_max,1
acceleration__fft_coefficient__attr_abs__coeff_43,1
acceleration__fft_coefficient__attr_abs__coeff_0,1
acceleration__longest_strike_below_mean,1
acceleration__fft_coefficient__attr_abs__coeff_45,1
acceleration__fft_coefficient__attr_abs__coeff_60,1
acceleration__fft_coefficient__attr_abs__coeff_6,1
acceleration__fourier_entropy__bins_5,1
acceleration__fft_coefficient__attr_abs__coeff_49,1
acceleration__fourier_entropy__bins_2,1
acceleration__agg_linear_trend__attr_intercept__chunk_len_5__f_agg_min,1
acceleration__fft_coefficient__attr_abs__coeff_41,1
acceleration__fft_coefficient__attr_abs__coeff_68,1
acceleration__percentage_of_reoccurring_values_to_all_values,1
acceleration__fft_coefficient__attr_abs__coeff_57,1
acceleration__fft_coefficient__attr_abs__coeff_76,1
acceleration__fft_coefficient__attr_abs__coeff_5,1
acceleration__fourier_entropy__bins_3,1
acceleration__fft_coefficient__attr_abs__coeff_42,1
acceleration__fft_coefficient__attr_abs__coeff_50,1
acceleration__fft_coefficient__attr_abs__coeff_82,1
acceleration__change_quantiles__f_agg_mean__isabs_False__qh_0,1
acceleration__fft_coefficient__attr_abs__coeff_70,1
acceleration__count_below_mean,1
acceleration__fft_coefficient__attr_abs__coeff_86,1
acceleration__permutation_entropy__dimension_7__tau_1,1
acceleration__fft_coefficient__attr_abs__coeff_61,1
acceleration__fft_coefficient__attr_abs__coeff_92,1
acceleration__fft_coefficient__attr_abs__coeff_93,1
acceleration__range_count__max_0__min_-1000000000000,1
acceleration__fft_coefficient__attr_angle__coeff_29,1
acceleration__fourier_entropy__bins_10,1
acceleration__first_location_of_minimum,1
acceleration__agg_autocorrelation__f_agg_mean__maxlag_40,1
acceleration__fft_coefficient__attr_abs__coeff_46,1
acceleration__fft_coefficient__attr_abs__coeff_88,1
acceleration__agg_linear_trend__attr_rvalue__chunk_len_5__f_agg_var,1
acceleration__fft_coefficient__attr_abs__coeff_77,1
(m/s2)__max_langevin_fixed_point__m_3__r_30,1
(m/s2)__energy_ratio_by_chunks__num_segments_10__segment_focus_4,1
(m/s2)__fft_coefficient__attr_abs__coeff_24,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_50__f_agg_mean,1
(m/s2)__fft_coefficient__attr_real__coeff_19,1
(m/s2)__fft_coefficient__attr_real__coeff_20,1
(m/s2)__fft_coefficient__attr_abs__coeff_10,1
(m/s2)__fft_coefficient__attr_abs__coeff_9,1
(m/s2)__agg_linear_trend__attr_intercept__chunk_len_50__f_agg_var,1
(m/s2)__fft_coefficient__attr_abs__coeff_48,1
(m/s2)__fft_coefficient__attr_abs__coeff_0,1
(m/s2)__fft_coefficient__attr_abs__coeff_2,1
(m/s2)__ratio_beyond_r_sigma__r_2,1
(m/s2)__sum_values,1
(m/s2)__fft_coefficient__attr_real__coeff_0,1
(m/s2)__cwt_coefficients__coeff_10__w_5__widths_(2,1
(m/s2)__cwt_coefficients__coeff_11__w_5__widths_(2,1
(m/s2)__fft_coefficient__attr_abs__coeff_22,1
(m/s2)__fft_coefficient__attr_abs__coeff_5,1
(m/s2)__binned_entropy__max_bins_10,1
(m/s2)__ar_coefficient__coeff_0__k_10,1
(m/s2)__c3__lag_3,1
(m/s2)__c3__lag_2,1
(m/s2)__c3__lag_1,1
(m/s2)__mean,1
(m/s2)__root_mean_square,1
(m/s2)__agg_linear_trend__attr_intercept__chunk_len_10__f_agg_min,1
(m/s2)__autocorrelation__lag_9,1
(m/s2)__autocorrelation__lag_8,1
(m/s2)__median,1
(m/s2)__fft_aggregated__aggtype_variance,1
(m/s2)__agg_linear_trend__attr_intercept__chunk_len_50__f_agg_mean,1
(m/s2)__kurtosis,1
(m/s2)__agg_autocorrelation__f_agg_var__maxlag_40,1
(m/s2)__cwt_coefficients__coeff_9__w_5__widths_(2,1
(m/s2)__autocorrelation__lag_3,1
(m/s2)__linear_trend__attr_intercept,1
(m/s2)__benford_correlation,1
(m/s2)__cwt_coefficients__coeff_2__w_10__widths_(2,1
(m/s2)__agg_linear_trend__attr_intercept__chunk_len_5__f_agg_min,1
(m/s2)__cwt_coefficients__coeff_3__w_5__widths_(2,1
(m/s2)__cwt_coefficients__coeff_4__w_5__widths_(2,1
(m/s2)__cwt_coefficients__coeff_8__w_5__widths_(2,1
(m/s2)__agg_linear_trend__attr_intercept__chunk_len_10__f_agg_mean,1
(m/s2)__agg_linear_trend__attr_intercept__chunk_len_5__f_agg_mean,1
(m/s2)__ratio_beyond_r_sigma__r_0,1
(m/s2)__cwt_coefficients__coeff_3__w_10__widths_(2,1
(m/s2)__cwt_coefficients__coeff_4__w_10__widths_(2,1
(m/s2)__cwt_coefficients__coeff_5__w_5__widths_(2,1
(m/s2)__agg_linear_trend__attr_intercept__chunk_len_5__f_agg_max,1
(m/s2)__autocorrelation__lag_2,1
(m/s2)__autocorrelation__lag_4,1
(m/s2)__autocorrelation__lag_7,1
(m/s2)__fft_coefficient__attr_abs__coeff_12,1
(m/s2)__fft_coefficient__attr_abs__coeff_39,1
(m/s2)__fft_coefficient__attr_abs__coeff_23,1
(m/s2)__spkt_welch_density__coeff_8,1
(m/s2)__spkt_welch_density__coeff_5,1
(m/s2)__change_quantiles__f_agg_mean__isabs_True__qh_1,1
(m/s2)__linear_trend__attr_stderr,1
(m/s2)__autocorrelation__lag_1,1
(m/s2)__partial_autocorrelation__lag_1,1
(m/s2)__cid_ce__normalize_False,1
(m/s2)__fft_coefficient__attr_abs__coeff_32,1
(m/s2)__cwt_coefficients__coeff_3__w_20__widths_(2,1
(m/s2)__variance,1
(m/s2)__standard_deviation,1
(m/s2)__cwt_coefficients__coeff_4__w_20__widths_(2,1
(m/s2)__fft_coefficient__attr_abs__coeff_17,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_50__f_agg_min,1
(m/s2)__cwt_coefficients__coeff_5__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_6__w_10__widths_(2,1
(m/s2)__cwt_coefficients__coeff_6__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_7__w_5__widths_(2,1
(m/s2)__cwt_coefficients__coeff_7__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_8__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_5__w_10__widths_(2,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_50__f_agg_var,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_50__f_agg_max,1
(m/s2)__count_below_mean,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_5__f_agg_var,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_5__f_agg_min,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_10__f_agg_min,1
(m/s2)__cwt_coefficients__coeff_1__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_2__w_20__widths_(2,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_10__f_agg_var,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_5__f_agg_mean,1
(m/s2)__fft_coefficient__attr_abs__coeff_16,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_10__f_agg_max,1
(m/s2)__fft_coefficient__attr_abs__coeff_20,1
(m/s2)__fft_coefficient__attr_abs__coeff_38,1
(m/s2)__fft_coefficient__attr_abs__coeff_40,1
(m/s2)__cwt_coefficients__coeff_14__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_1__w_10__widths_(2,1
(m/s2)__cwt_coefficients__coeff_14__w_10__widths_(2,1
(m/s2)__cwt_coefficients__coeff_13__w_10__widths_(2,1
(m/s2)__cwt_coefficients__coeff_12__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_8__w_10__widths_(2,1
(m/s2)__autocorrelation__lag_6,1
(m/s2)__cwt_coefficients__coeff_9__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_7__w_10__widths_(2,1
(m/s2)__cwt_coefficients__coeff_10__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_13__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_11__w_20__widths_(2,1
(m/s2)__cwt_coefficients__coeff_12__w_10__widths_(2,1
(m/s2)__fft_coefficient__attr_abs__coeff_26,1
(m/s2)__cwt_coefficients__coeff_6__w_5__widths_(2,1
(m/s2)__fft_coefficient__attr_abs__coeff_21,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_5__f_agg_max,1
(m/s2)__fft_coefficient__attr_abs__coeff_19,1
(m/s2)__fft_coefficient__attr_abs__coeff_18,1
(m/s2)__cwt_coefficients__coeff_10__w_10__widths_(2,1
(m/s2)__autocorrelation__lag_5,1
(m/s2)__cwt_coefficients__coeff_9__w_10__widths_(2,1
(m/s2)__ratio_beyond_r_sigma__r_3,1
(m/s2)__fft_coefficient__attr_abs__coeff_27,1
(m/s2)__fft_coefficient__attr_abs__coeff_35,1
(m/s2)__mean_n_absolute_max__number_of_maxima_7,1
(m/s2)__lempel_ziv_complexity__bins_100,1
(m/s2)__agg_linear_trend__attr_stderr__chunk_len_10__f_agg_mean,1
(m/s2)__abs_energy,1
(m/s2)__maximum,1
(m/s2)__agg_autocorrelation__f_agg_mean__maxlag_40,1
(m/s2)__agg_autocorrelation__f_agg_median__maxlag_40,1
(m/s2)__cwt_coefficients__coeff_11__w_10__widths_(2,1
(m/s2)__fft_coefficient__attr_abs__coeff_25,1
x__number_peaks__n_50,1
x__number_peaks__n_10,1
x__number_peaks__n_5,1
x__number_cwt_peaks__n_1,1
x__number_cwt_peaks__n_5,1
x__number_peaks__n_3,1
x__number_peaks__n_1,1
x__range_count__max_1000000000000,1
0__min_0,1
x__length,1
x__count_below_mean,1
x__absolute_sum_of_changes,1
x__cid_ce__normalize_False,1
x__fft_coefficient__attr_real__coeff_0,1
x__fft_coefficient__attr_abs__coeff_93,1
x__sum_values,1
x__mean_abs_change,1
x__fft_coefficient__attr_abs__coeff_0,1
x__fft_aggregated__aggtype_variance,1
x__fft_coefficient__attr_abs__coeff_58,1
x__autocorrelation__lag_3,1
x__partial_autocorrelation__lag_2,1
x__partial_autocorrelation__lag_4,1
x__partial_autocorrelation__lag_5,1
x__fft_aggregated__aggtype_centroid,1
x__fft_coefficient__attr_abs__coeff_10,1
x__abs_energy,1
x__cid_ce__normalize_True,1
x__fft_coefficient__attr_abs__coeff_72,1
x__sum_of_reoccurring_data_points,1
x__count_above_mean,1
x__fft_coefficient__attr_abs__coeff_8,1
x__fft_coefficient__attr_abs__coeff_54,1
x__sum_of_reoccurring_values,1
x__fft_coefficient__attr_abs__coeff_97,1
x__permutation_entropy__dimension_7__tau_1,1
x__agg_linear_trend__attr_intercept__chunk_len_50__f_agg_min,1
x__fft_coefficient__attr_abs__coeff_85,1
x__fft_coefficient__attr_abs__coeff_57,1
x__fft_coefficient__attr_abs__coeff_77,1
x__mean_n_absolute_max__number_of_maxima_7,1
x__fft_coefficient__attr_abs__coeff_78,1
x__agg_linear_trend__attr_stderr__chunk_len_5__f_agg_mean,1
x__fft_coefficient__attr_abs__coeff_16,1
x__fft_coefficient__attr_abs__coeff_62,1
x__fft_coefficient__attr_abs__coeff_80,1
x__fft_coefficient__attr_abs__coeff_94,1
x__agg_linear_trend__attr_stderr__chunk_len_5__f_agg_min,1
x__fft_coefficient__attr_abs__coeff_76,1
x__fft_coefficient__attr_abs__coeff_86,1
x__agg_linear_trend__attr_stderr__chunk_len_10__f_agg_min,1
x__agg_linear_trend__attr_stderr__chunk_len_10__f_agg_mean,1
x__autocorrelation__lag_2,1
x__fft_coefficient__attr_real__coeff_2,1
x__autocorrelation__lag_4,1
x__partial_autocorrelation__lag_9,1
x__linear_trend__attr_stderr,1
x__fft_coefficient__attr_abs__coeff_68,1
x__agg_linear_trend__attr_slope__chunk_len_50__f_agg_min,1
x__agg_linear_trend__attr_rvalue__chunk_len_10__f_agg_min,1
x__fft_coefficient__attr_abs__coeff_34,1
x__agg_linear_trend__attr_intercept__chunk_len_5__f_agg_var,1
x__fft_coefficient__attr_abs__coeff_50,1
x__agg_linear_trend__attr_rvalue__chunk_len_5__f_agg_min,1
x__fft_coefficient__attr_abs__coeff_55,1
x__fft_coefficient__attr_abs__coeff_99,1
x__partial_autocorrelation__lag_7,1
x__fft_coefficient__attr_abs__coeff_28,1
x__agg_linear_trend__attr_rvalue__chunk_len_50__f_agg_min,1
x__median,1
x__fft_coefficient__attr_abs__coeff_26,1
x__fft_coefficient__attr_abs__coeff_96,1
x__fft_coefficient__attr_abs__coeff_79,1
x__partial_autocorrelation__lag_6,1
x__agg_linear_trend__attr_slope__chunk_len_5__f_agg_var,1
x__agg_linear_trend__attr_intercept__chunk_len_5__f_agg_max,1
x__fourier_entropy__bins_5,1
x__fft_coefficient__attr_abs__coeff_5,1
x__fft_coefficient__attr_abs__coeff_71,1
x__maximum,1
x__absolute_maximum,1
x__fourier_entropy__bins_10,1
x__fft_coefficient__attr_abs__coeff_75,1
x__agg_linear_trend__attr_stderr__chunk_len_5__f_agg_max,1
x__longest_strike_below_mean,1
x__permutation_entropy__dimension_6__tau_1,1
x__fft_coefficient__attr_abs__coeff_27,1
x__fft_coefficient__attr_abs__coeff_66,1
x__agg_linear_trend__attr_intercept__chunk_len_10__f_agg_max,1
x__fft_coefficient__attr_abs__coeff_81,1
x__agg_linear_trend__attr_intercept__chunk_len_10__f_agg_min,1
x__fft_coefficient__attr_abs__coeff_61,1
x__benford_correlation,1
x__fft_coefficient__attr_abs__coeff_92,1
x__agg_linear_trend__attr_intercept__chunk_len_5__f_agg_mean,1
x__linear_trend__attr_intercept,1
x__fft_coefficient__attr_abs__coeff_14,1
x__fft_coefficient__attr_abs__coeff_6,1
x__agg_linear_trend__attr_intercept__chunk_len_50__f_agg_mean,1
x__fft_coefficient__attr_abs__coeff_53,1
x__agg_linear_trend__attr_intercept__chunk_len_10__f_agg_mean,1
x__ar_coefficient__coeff_5__k_10,1
x__fft_coefficient__attr_abs__coeff_65,1
x__fft_coefficient__attr_abs__coeff_11,1
x__agg_linear_trend__attr_intercept__chunk_len_5__f_agg_min,1
x__fft_coefficient__attr_abs__coeff_13,1
x__fft_coefficient__attr_abs__coeff_33,1
x__fft_coefficient__attr_abs__coeff_47,1
x__fft_coefficient__attr_abs__coeff_90,1
x__mean,1
x__fft_coefficient__attr_abs__coeff_36,1
x__root_mean_square,1
x__agg_linear_trend__attr_slope__chunk_len_50__f_agg_var,1
x__ratio_value_number_to_time_series_length,1
x__agg_linear_trend__attr_stderr__chunk_len_10__f_agg_max,1
x__agg_linear_trend__attr_rvalue__chunk_len_50__f_agg_var,1
x__agg_linear_trend__attr_stderr__chunk_len_50__f_agg_min,1
x__fft_coefficient__attr_abs__coeff_4,1
x__fourier_entropy__bins_3,1
x__fft_coefficient__attr_abs__coeff_56,1
x__c3__lag_1,1
x__fft_coefficient__attr_abs__coeff_9,1
x__ar_coefficient__coeff_1__k_10,1
x__agg_linear_trend__attr_intercept__chunk_len_50__f_agg_max,1
x__fft_coefficient__attr_abs__coeff_84,1
x__agg_linear_trend__attr_slope__chunk_len_10__f_agg_var,1
x__ar_coefficient__coeff_3__k_10,1
x__fft_coefficient__attr_abs__coeff_52,1
x__agg_linear_trend__attr_rvalue__chunk_len_5__f_agg_var,1
x__fft_coefficient__attr_abs__coeff_60,1
x__fourier_entropy__bins_2,1
x__fft_coefficient__attr_abs__coeff_70,1
x__fft_coefficient__attr_abs__coeff_40,1
x__fft_coefficient__attr_abs__coeff_63,1
x__fft_coefficient__attr_abs__coeff_41,1
x__fft_coefficient__attr_abs__coeff_87,1
x__fft_coefficient__attr_abs__coeff_49,1
x__fft_coefficient__attr_abs__coeff_51,1
x__partial_autocorrelation__lag_8,1
x__fft_coefficient__attr_abs__coeff_89,1
x__c3__lag_3,1
x__agg_linear_trend__attr_intercept__chunk_len_10__f_agg_var,1
x__fft_coefficient__attr_abs__coeff_69,1
x__fft_coefficient__attr_abs__coeff_73,1
x__fft_coefficient__attr_abs__coeff_7,1
x__fft_coefficient__attr_abs__coeff_91,1
x__fft_coefficient__attr_abs__coeff_44,1
x__c3__lag_2,1
x__fft_coefficient__attr_abs__coeff_95,1
x__fft_coefficient__attr_abs__coeff_67,1
x__fft_coefficient__attr_abs__coeff_3,1
x__agg_linear_trend__attr_stderr__chunk_len_50__f_agg_max,1
x__fft_coefficient__attr_abs__coeff_88,1
x__fft_coefficient__attr_abs__coeff_25,1
x__agg_linear_trend__attr_rvalue__chunk_len_10__f_agg_var,1
x__fft_coefficient__attr_abs__coeff_82,1
x__fft_coefficient__attr_real__coeff_77,1
x__fft_coefficient__attr_abs__coeff_32,1
x__fourier_entropy__bins_100,1
x__fft_coefficient__attr_abs__coeff_30,1
x__lempel_ziv_complexity__bins_5,1
x__fft_coefficient__attr_abs__coeff_12,1
x__fft_aggregated__aggtype_kurtosis,1
x__fft_coefficient__attr_abs__coeff_59,1
x__spkt_welch_density__coeff_2,1
x__agg_linear_trend__attr_slope__chunk_len_5__f_agg_min,1
x__agg_linear_trend__attr_slope__chunk_len_10__f_agg_min,1
x__fft_coefficient__attr_abs__coeff_74,1
x__lempel_ziv_complexity__bins_10,1
x__fft_coefficient__attr_abs__coeff_64,1
x__fft_coefficient__attr_abs__coeff_38,1
x__last_location_of_minimum,1
x__fft_coefficient__attr_abs__coeff_48,1
x__number_crossing_m__m_0,1
x__fft_coefficient__attr_abs__coeff_17,1
x__fft_coefficient__attr_abs__coeff_2,1
x__fft_coefficient__attr_abs__coeff_18,1
x__energy_ratio_by_chunks__num_segments_10__segment_focus_9,1
x__fft_coefficient__attr_abs__coeff_83,1
x__fft_coefficient__attr_abs__coeff_98,1
x__fft_coefficient__attr_abs__coeff_45,1
x__fft_coefficient__attr_abs__coeff_15,1
x__fft_coefficient__attr_abs__coeff_42,1
x__ar_coefficient__coeff_9__k_10,1
x__fft_coefficient__attr_real__coeff_3,1
x__fft_coefficient__attr_abs__coeff_19,1
x__fft_coefficient__attr_abs__coeff_20,1
x__longest_strike_above_mean,1
x__value_count__value_0,1
x__range_count__max_1__min_-1,1
x__fft_aggregated__aggtype_skew,1
x__fft_coefficient__attr_abs__coeff_46,1
x__lempel_ziv_complexity__bins_3,1
x__spkt_welch_density__coeff_5,1
x__agg_linear_trend__attr_stderr__chunk_len_50__f_agg_mean,1
x__fft_coefficient__attr_abs__coeff_23,1
x__autocorrelation__lag_1,1
x__partial_autocorrelation__lag_1,1
x__fft_coefficient__attr_abs__coeff_31,1
x__percentage_of_reoccurring_datapoints_to_all_datapoints,1
x__fft_coefficient__attr_abs__coeff_39,1
x__ar_coefficient__coeff_7__k_10,1
x__fft_coefficient__attr_abs__coeff_35,1
x__permutation_entropy__dimension_5__tau_1,1
x__fft_coefficient__attr_abs__coeff_43,1
x__fft_coefficient__attr_abs__coeff_29,1
x__number_crossing_m__m_1,1
x__agg_linear_trend__attr_rvalue__chunk_len_5__f_agg_mean,1
x__agg_linear_trend__attr_rvalue__chunk_len_10__f_agg_mean,1
x__cwt_coefficients__coeff_0__w_20__widths_(2,1
x__fft_coefficient__attr_real__coeff_1,1
x__linear_trend__attr_rvalue,1
x__fft_coefficient__attr_abs__coeff_24,1
x__cwt_coefficients__coeff_2__w_20__widths_(2,1
x__cwt_coefficients__coeff_1__w_20__widths_(2,1
x__energy_ratio_by_chunks__num_segments_10__segment_focus_6,1
x__fft_coefficient__attr_real__coeff_4,1
x__fft_coefficient__attr_imag__coeff_2,1
x__cwt_coefficients__coeff_3__w_20__widths_(2,1
x__fft_coefficient__attr_abs__coeff_37,1
x__fft_coefficient__attr_angle__coeff_2,1
x__fft_coefficient__attr_real__coeff_6,1
x__agg_linear_trend__attr_slope__chunk_len_50__f_agg_mean,1
x__autocorrelation__lag_7,1
