xacceleration__standard_deviation, Importance Score = 0.0895
acceleration__number_crossing_m__m_1, Importance Score = 0.0750
acceleration__fourier_entropy__bins_5, Importance Score = 0.0647
acceleration__agg_linear_trend__attr_"intercept"__chunk_len_10__f_agg_"min", Importance Score = 0.0584    
acceleration__agg_linear_trend__attr_"intercept"__chunk_len_5__f_agg_"min", Importance Score = 0.0422     
acceleration__fourier_entropy__bins_2, Importance Score = 0.0422
acceleration__change_quantiles__f_agg_"var"__isabs_True__qh_0.2__ql_0.0, Importance Score = 0.0421        
acceleration__first_location_of_minimum, Importance Score = 0.0350
acceleration__range_count__max_0__min_-1000000000000.0, Importance Score = 0.0340
acceleration__fft_coefficient__attr_"abs"__coeff_1, Importance Score = 0.0312
acceleration__fourier_entropy__bins_10, Importance Score = 0.0271
acceleration__change_quantiles__f_agg_"var"__isabs_True__qh_0.8__ql_0.0, Importance Score = 0.0247        
acceleration__fft_coefficient__attr_"abs"__coeff_93, Importance Score = 0.0222
acceleration__index_mass_quantile__q_0.6, Importance Score = 0.0221
acceleration__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.4, Importance Score = 0.0212       
acceleration__fft_coefficient__attr_"abs"__coeff_23, Importance Score = 0.0209
acceleration__fft_coefficient__attr_"abs"__coeff_18, Importance Score = 0.0206
acceleration__fft_coefficient__attr_"abs"__coeff_14, Importance Score = 0.0205
acceleration__abs_energy, Importance Score = 0.0203
acceleration__fft_coefficient__attr_"abs"__coeff_20, Importance Score = 0.0181
