,target,acceleration__standard_deviation,acceleration__number_crossing_m__m_1,"acceleration__fft_coefficient__attr_""angle""__coeff_1",acceleration__fourier_entropy__bins_5,"acceleration__linear_trend__attr_""slope""",acceleration__fourier_entropy__bins_2,acceleration__range_count__max_0__min_-1000000000000.0,acceleration__autocorrelation__lag_5,acceleration__index_mass_quantile__q_0.4,acceleration__mean_n_absolute_max__number_of_maxima_7
0,1,0.128012881,0,89.05743161,0.194134837,0.001144688,0.166683464,32,0.663126323,0.565,0.395714286
1,1,0.142896783,0,107.9839943,0.263667238,0.001789178,0.122956999,149,0.571213596,0.355704698,1.159142857
2,1,0.162426334,0,-47.32693779,0.216414089,-0.004668362,0.108471339,13,0.779048921,0.174418605,0.450571429
3,1,0.108201973,0,-92.26292576,0.234298178,-0.000192267,0.109452358,35,0.630706045,0.593023256,0.247285714
4,1,0.438841986,0,88.72972411,0.183785237,0.005522599,0.06719688,47,0.875465377,0.310126582,1.181285714
5,1,0.183472623,0,76.4502508,0.17883136,0.004897085,0.089578027,0,0.891958527,0.672727273,0.620571429
6,1,0.320210628,0,106.5445831,0.141440924,0.005763149,0.070810555,39,0.750988352,0.583892617,0.736142857
7,1,0.361257844,0,111.6609122,0.156798419,0.007311039,0.078515764,124,0.86016753,0.244274809,1.197857143
8,1,0.586449786,0,71.34147089,0.125386776,0.003896343,0.109452358,116,0.788569577,0.346820809,1.725285714
9,1,0.471351268,2,74.4310668,0.18562471,0.005162329,0.067887239,75,0.823776016,0.314102564,1.285714286
10,1,0.249039999,0,77.39274901,0.104732439,0.007944726,0.104732439,5,0.704819407,0.7,0.741714286
11,1,0.143542966,0,-64.71889043,0.269293796,-0.001093007,0.170529856,19,0.510810959,0.25,0.379
12,1,0.285455306,0,34.88363303,0.419555892,0.000434849,0.264052052,16,0.539105586,0.396226415,0.604142857
13,1,0.134584558,0,-121.4945738,0.131197811,-0.000444378,0.131197811,60,0.679461606,0.485294118,0.296857143
14,1,0.29768945,0,124.8246691,0.162764794,0.00662368,0.081510411,125,0.819100513,0.232,1.153714286
15,1,0.06866545,0,-136.7008919,0.52491915,-0.000439588,0.283547893,33,0.187862141,0.462809917,0.214285714
16,1,0.111299847,0,-118.4194081,0.496723798,-0.001240678,0.239217094,49,0.162854484,0.528455285,0.329857143
17,1,0.104422185,0,118.9443065,0.170467354,0.000327418,0.079982526,73,0.508240233,0.504559271,0.324285714
18,1,0.351503005,0,73.50993132,0.090876121,0.009964208,0.090876121,18,0.906364939,0.75,0.945285714
19,1,0.159286548,0,-141.3218623,0.314123026,-0.001657571,0.116906849,17,0.552484123,0.367088608,0.390285714
20,1,0.361086618,0,83.09574703,0.201113916,0.004890206,0.06719688,69,0.866625692,0.265822785,0.928571429
21,1,0.154497574,0,128.2529733,0.327055377,0.002395585,0.152005311,113,0.297416772,0.353982301,1.164571429
22,1,0.095203102,0,-131.6934672,0.294891749,-0.000390919,0.145215936,85,0.364312447,0.423236515,0.258142857
