acceleration__fourier_entropy__bins_5, Importance Score = 0.0312
acceleration__standard_deviation, Importance Score = 0.0257
acceleration__abs_energy, Importance Score = 0.0241
acceleration__fourier_entropy__bins_10, Importance Score = 0.0231
acceleration__fourier_entropy__bins_2, Importance Score = 0.0217
acceleration__variance, Importance Score = 0.0197
acceleration__first_location_of_minimum, Importance Score = 0.0177
acceleration__agg_linear_trend__attr_"intercept"__chunk_len_5__f_agg_"min", Importance Score = 0.0161     
acceleration__absolute_sum_of_changes, Importance Score = 0.0161
acceleration__permutation_entropy__dimension_7__tau_1, Importance Score = 0.0151
acceleration__agg_linear_trend__attr_"intercept"__chunk_len_10__f_agg_"min", Importance Score = 0.0148    
acceleration__fourier_entropy__bins_3, Importance Score = 0.0143
acceleration__quantile__q_0.2, Importance Score = 0.0143
acceleration__agg_linear_trend__attr_"intercept"__chunk_len_50__f_agg_"min", Importance Score = 0.0135    
acceleration__root_mean_square, Importance Score = 0.0132
acceleration__fft_coefficient__attr_"abs"__coeff_1, Importance Score = 0.0129
acceleration__quantile__q_0.1, Importance Score = 0.0127
acceleration__agg_linear_trend__attr_"intercept"__chunk_len_50__f_agg_"var", Importance Score = 0.0123    
acceleration__percentage_of_reoccurring_values_to_all_values, Importance Score = 0.0123
acceleration__agg_linear_trend__attr_"intercept"__chunk_len_50__f_agg_"max", Importance Score = 0.0123 
