feature,feature,type,p_value,relevant
F_x__value_count__value_-1,F_x__value_count__value_-1,real,1.8796325601550807e-12,True
F_x__root_mean_square,F_x__root_mean_square,real,5.900085710681437e-12,True
F_x__abs_energy,F_x__abs_energy,real,5.900085710681437e-12,True
T_y__absolute_maximum,T_y__absolute_maximum,real,5.9663951691677585e-12,True
F_x__mean_n_absolute_max__number_of_maxima_7,F_x__mean_n_absolute_max__number_of_maxima_7,real,6.054628250107047e-12,True
F_x__range_count__max_1__min_-1,F_x__range_count__max_1__min_-1,real,6.268453264379724e-12,True
F_y__abs_energy,F_y__abs_energy,real,6.32767439193722e-12,True
F_y__root_mean_square,F_y__root_mean_square,real,6.32767439193722e-12,True
F_y__mean_n_absolute_max__number_of_maxima_7,F_y__mean_n_absolute_max__number_of_maxima_7,real,6.522228477009674e-12,True
T_y__variance,T_y__variance,real,6.778390144511301e-12,True
T_y__standard_deviation,T_y__standard_deviation,real,6.778390144511301e-12,True
F_y__absolute_maximum,F_y__absolute_maximum,real,8.071110744841609e-12,True
T_x__absolute_maximum,T_x__absolute_maximum,real,8.275455499603252e-12,True
"F_x__fft_coefficient__attr_""abs""__coeff_1","F_x__fft_coefficient__attr_""abs""__coeff_1",real,8.320728956656362e-12,True
F_x__absolute_maximum,F_x__absolute_maximum,real,8.767128835160237e-12,True
"T_y__fft_coefficient__attr_""abs""__coeff_1","T_y__fft_coefficient__attr_""abs""__coeff_1",real,9.538182892330397e-12,True
T_y__abs_energy,T_y__abs_energy,real,1.2511591412277797e-11,True
T_y__root_mean_square,T_y__root_mean_square,real,1.2511591412277797e-11,True
T_y__mean_n_absolute_max__number_of_maxima_7,T_y__mean_n_absolute_max__number_of_maxima_7,real,1.2841281101593078e-11,True
F_z__standard_deviation,F_z__standard_deviation,real,1.2942221408032517e-11,True
"F_z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","F_z__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",real,1.3390112418264951e-11,True
F_z__variance,F_z__variance,real,1.3390112418264951e-11,True
F_x__variance,F_x__variance,real,2.1431549836681396e-11,True
F_x__standard_deviation,F_x__standard_deviation,real,2.1431549836681396e-11,True
F_x__ratio_value_number_to_time_series_length,F_x__ratio_value_number_to_time_series_length,real,2.611579911458662e-11,True
T_x__standard_deviation,T_x__standard_deviation,real,3.1991781530757575e-11,True
T_x__variance,T_x__variance,real,3.1991781530757575e-11,True
"T_x__fft_coefficient__attr_""abs""__coeff_1","T_x__fft_coefficient__attr_""abs""__coeff_1",real,3.4186084919034485e-11,True
"T_y__fft_coefficient__attr_""abs""__coeff_2","T_y__fft_coefficient__attr_""abs""__coeff_2",real,3.6527464630480616e-11,True
F_x__cid_ce__normalize_True,F_x__cid_ce__normalize_True,real,3.902553926836801e-11,True
F_x__partial_autocorrelation__lag_1,F_x__partial_autocorrelation__lag_1,real,5.0789552160626784e-11,True
F_x__autocorrelation__lag_1,F_x__autocorrelation__lag_1,real,5.079941567741276e-11,True
